;review_comment_message;price;freight_value;payment_type;product_description_lenght;review_score;customer_state;seller_state;product_photos_qty;product_category_name
32435;" Relogio muito feio! Nada haver com a foto.
 Nao recomendo..... parece relogio de brinquedo.
Aff joguei dinheiro fora";78.0;7.8;credit_card;319.0;1;SP;SP;4.0;relogios_presentes
58196;Efetuei a compra de dois produtos, mas só recebi um e o status foi registrado incorretamente como entregue.;119.9;20.08;credit_card;1450.0;1;MG;SC;3.0;pet_shop
35242;Achei que o produto fosse melhor!bom;89.9;15.38;boleto;245.0;1;ES;SP;1.0;cama_mesa_banho
102163;O produto está com defeito e estou aguardando a loja entrar em contato comigo este tempo todo e até hoje nada...;85.0;20.08;credit_card;1328.0;1;MG;SP;1.0;cama_mesa_banho
12414;Péssimo produto! Os que são vendidos nas lojinhas de 1.99 talvez seja mais satisfatório! E ainda veio um quebrado, mesmo estando bem embalado, ou seja dá pra pensar que já foi armazenado quebrado ;56.99;8.72;credit_card;1003.0;1;SP;SP;2.0;perfumaria
2079;Comprei 2 adesivos juntos,cobraram 2 fretes,sendo que a compra foi feita 1 compra com 2 adesivos e pro mesmo endereço,e foram entregues juntos,achei muito errado,o certo seria só um frete.Nao gostei..;7.9;8.29;credit_card;366.0;3;SP;SP;4.0;papelaria
55932;Comprei 5 escovas de dentes Black com cerdas pretas. Recebi apenas 2 e não são Black, são coloridas, vermelha e roxa! Um absurdo! Fui roubada! Incompleto e errado!;29.9;18.23;boleto;1482.0;1;SP;RJ;2.0;beleza_saude
93613;Estou aguardando o restante da entrega, comprei e paguei 3 perfumes blackcaviar feminino e recebi 1 perfume, preciso de um retorno da empresa para recuperar o prejuízo .;44.9;15.63;boleto;899.0;1;RJ;SP;3.0;perfumaria
47503;Qualidade abaixo do esperado!;69.0;16.24;credit_card;1904.0;2;SP;SC;1.0;cama_mesa_banho
78787;O produto tem pequenos defeitos, por ser tão caro, devia passar por uma triagem mais bem eficiente e detalhista.;69.9;17.77;credit_card;1188.0;2;CE;SP;2.0;utilidades_domesticas
105802;Comprei 2 unidades do produto, veio avariado visto que a embalagem é muito fraca, sendo que veio com dois buracos no fundo da panela, devido a pressão que dog colocado em cima dele.;40.99;17.93;credit_card;605.0;1;GO;SP;5.0;utilidades_domesticas
41701;"faz mais de 1 mes que pedi o produto e ate agora nao foi entregue ,e ainda por cima nao dao nenhuma explicao de como fica meu dinheiro
";12.6;15.1;debit_card;759.0;1;SC;SP;1.0;fashion_bolsas_e_acessorios
88841;Ainda nao recebi o produto;165.9;25.29;credit_card;1313.0;1;DF;PR;1.0;esporte_lazer
47182;"Boa noite!

Infelizmente o produto é bem menor em tamanho do que imaginava.
Gostaria de efetuar a troca.
Grata";59.99;34.22;boleto;482.0;1;CE;MG;2.0;pet_shop
117733;Prazo de Entrga muito longo , e quando chega a data prevista , não entrega. - PessimoParceiro;48.67;9.34;credit_card;543.0;1;SP;SP;3.0;moveis_decoracao
113789;Fiz minha compra dia 17/08/2018 agora e dia 27/08/ e ainda nao recebi o produto;12.9;7.39;boleto;379.0;2;SP;SP;1.0;construcao_ferramentas_construcao
10562;Informação Conflitante ,queria comprar Fone De Ouvido Headphone Sem Fio de um valor superior porem o vendedor não entregava na minha cidade,de um valor menor vendeu e entregou .Como assim? ;76.0;15.28;credit_card;973.0;3;RS;SP;1.0;telefonia
61039;Achei a qualidade do produto muito inferior ao que detalhava nas informações. A qualidade do tecido não me agradou.;89.9;10.01;boleto;1208.0;1;SP;SP;1.0;cama_mesa_banho
531;ainda não recebi meu produto e quero saber como anda a entrega. Estou pensando em cancelar a compra.;209.9;18.72;credit_card;236.0;1;RJ;SP;1.0;relogios_presentes
64279;Veio na cor marrom e não preta. Bem simples e leve. ;10.99;15.1;credit_card;457.0;3;ES;SP;4.0;moveis_decoracao
117440;SIMPLESMENTE NAO RECEBI O PRODUTO!!! ;70.0;9.74;credit_card;335.0;1;SP;SP;2.0;moveis_decoracao
33495;O produto veio com defeito, relógio soltando o fundo. A própria pulseira do relógio o fazia soltar;49.0;14.1;credit_card;379.0;1;ES;SP;3.0;relogios_presentes
89584;O stark sempre foi muito confiável, porém desta vez recebi o produto sem nenhuma especificação. Não sabemos para até quantos watt's pode ser usado. Propaganda duvidosa.;29.9;14.52;boleto;325.0;3;SP;MG;3.0;moveis_decoracao
32984;Eu so recebi um relógio o do mickei...Pensei q chegariam juntos mais até o momento nada.Por gentileza possível verificar.;55.0;8.51;credit_card;112.0;2;SP;SP;2.0;relogios_presentes
10242;Comprei para presentear meu marido e até agora não recebi, em contato com a targaryen responsável pela entrega o prazo uma resposta expirou e até agora nenhuma informação sobre a entrega do produto.;27.99;15.1;credit_card;818.0;1;RJ;SP;6.0;telefonia
56026;ainda nao recebi...ja passou da hora de receber, ja ja vai fazer aniversario. Gostaria de uma posição do vendedor. Pois quero uma posição. Estou decepcionada com essa loja. fiz a compra em 01/03/2018.;199.0;12.89;credit_card;253.0;2;SP;SP;1.0;cama_mesa_banho
109599;faltou a almofada cocozinho, na nota consta o produto, mas o produto NÃO foi entregue;14.9;13.31;credit_card;466.0;2;SP;SP;2.0;moveis_decoracao
67189;A loja me enviou um produto errado, comprei um produto de quase R$600 reais e me enviaram borracha de relógio de plástico.;499.9;17.25;credit_card;1513.0;1;RJ;SP;1.0;cool_stuff
68660;A MALA VEIO RASPADA - VOU TENTAR DEVOLVER;248.99;74.69;boleto;526.0;1;SC;SP;2.0;malas_acessorios
105306;Recebi o produto mais veio errado, ainda não recebi nenhum contato da empresa!;1520.88;28.53;credit_card;395.0;1;RJ;SP;3.0;telefonia
102026;pelo valor pago a qualidade foi bem inferior, eu não compraria novamente;48.9;16.53;voucher;318.0;1;DF;RJ;1.0;cama_mesa_banho
109935;Tem mais de um mês que fiz a compra mas não recebi. Quero a devolução do dinheiro ;209.9;18.18;credit_card;265.0;1;RS;RJ;1.0;utilidades_domesticas
70463;Comprei 2 produtos e recebi apenas 1 ;124.9;17.78;credit_card;3184.0;3;SP;SP;1.0;esporte_lazer
85908;Top;230.0;22.06;credit_card;353.0;3;RS;DF;1.0;beleza_saude
51040;Efetuei a compra de dois fones desse modelo mesmo, porém só veio um e o que veio está com defeito. Desejo a devolução e me declaro completamente insatisfeita. ;49.0;15.1;credit_card;1057.0;1;MG;SP;3.0;eletronicos
106615;Pedido 02-657469076. Vários produtos comprados neste pedido. A maioria foi entregue dois deles não. Liguei e passei e-mail tanto para lannister e seus parceiros cobrando os 2 produtos faltantes. KD ?;32.9;14.76;credit_card;1741.0;1;RJ;RS;1.0;automotivo
51712;Recebi o produto usado estou tentando trocar porém sem êxito.;170.0;21.46;credit_card;1500.0;1;DF;BA;4.0;telefonia
23629;Recebi apenas 2 pendentes falta o restante com uma vendedora eu consegui falar e ela ja enviou os outros 4 pendentes, ja os amarelos ainda não recebi nenhum estou aguardando faltam os 5 amarelos...;84.0;29.44;credit_card;899.0;3;GO;SP;2.0;moveis_decoracao
95170;qualidade do tapete muito ruim, suja só de encostar e tamanho menor do que o especificado.;129.89;9.26;boleto;444.0;1;SP;SP;2.0;cama_mesa_banho
4536;"Comprei quatro cadeiras, estou pagando e recebi só uma cadeira.
Aguardo o envio urgente da outras três cadeiras, ou vou cancelar o pagamento.
Detalhe: foi enviada nota de quatro cadeiras.
Aguardo.";79.99;21.21;credit_card;1350.0;1;SP;SP;1.0;moveis_escritorio
8204;Foi entregue apenas 2 capas das cadeiras sem a toalha de mesa sem outras 4 capas das cadeiras Isso que foi cobrado um preco muito alto pela entrega;15.9;21.75;credit_card;181.0;1;SC;SP;1.0;cool_stuff
31613;O frete não é barato pra ter que buscar no correio não avisa o local onde não entregam é frustração total shoptaime podem averiguar isto pra que não aconteça com outros ;109.4;69.13;credit_card;809.0;1;SP;RJ;1.0;moveis_colchao_e_estofado
66197;Não lembra em nada um cobre leito. É na verdade um lençol com tecido mais grosso e áspero. Já solicitei devolução ;42.0;19.48;voucher;246.0;1;PR;SP;1.0;cama_mesa_banho
77809;O produto chegou com a caixa amaçada... Como se tivessem colocado algo em cima dela. No entanto, sem avarias, mas negligência com o produto.;99.9;14.43;boleto;819.0;3;PR;PR;3.0;beleza_saude
73848;A loja não respondeu minha pergunta e não recebi meu produto. Comprei na stark e não na targaryen.;71.3;20.99;credit_card;143.0;1;RJ;SP;1.0;ferramentas_jardim
58353;A respeito das prateleiras não recebemos os parafusos para afixação, acreditávamos que eles deveriam acompanhar o produto;69.9;18.54;voucher;296.0;3;PR;RJ;1.0;moveis_decoracao
27171;Não chegou o produto que comprei. Estou insatisfeita com a loja.;49.0;19.66;credit_card;366.0;1;MT;SP;2.0;ferramentas_jardim
99574;Nao recebi a cadeirinha de carro, apenas o tapete apenas o tapete.;69.0;28.64;credit_card;584.0;3;SC;SP;1.0;bebes
23429;Não recebi meu produto e ainda não respondem meus contatos. Horrível essa loja ;200.0;27.83;credit_card;252.0;1;RS;SP;1.0;relogios_presentes
619;Idêntico ao da foto, porém muito pequeno o visor, se atentar as descrições do produto ! Produto entregue no prazo, corretamente !;170.0;16.82;credit_card;514.0;3;SP;SP;2.0;relogios_presentes
100300;A Ducha chegou sem o desviador que consta na foto. Já reclamei no SAC da KDT emissor da Nota Fiscal no dia 07/03/2018 e ate o momento nada foi resolvido. Favor tomar providencias.;599.0;17.8;credit_card;1426.0;1;SP;SP;1.0;eletroportateis
39345;A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.;45.9;42.76;credit_card;253.0;3;RO;SP;3.0;moveis_decoracao
35876;"Adquiri um kit Rivera 5 peças não recebi o cobre leito,veio um lençol muito fino que não é um cobre leito.
gostaria que fosse trocado pelo produto que adquiri no site.";84.9;23.17;credit_card;312.0;1;RJ;SP;1.0;cama_mesa_banho
10074;Até agora não recebi uma simples capinha. Comprei a capa antes do telefone pra não correr o risco de ficar com o telefone novo sem capa. O telefone já chegou a muito tempo e a capa até agora nada. ;24.99;14.1;credit_card;722.0;1;RJ;SP;6.0;telefonia
84490;Jah conhecia a marca, pois tinha adquirido o whey de chocolate, muito bom por sinal, contudo, esse de morango é ridiculo de ruim. Péssima fórmula, gosto ruim, não dilui nem fudendo!;159.0;20.6;debit_card;264.0;1;RS;SP;2.0;esporte_lazer
70949;Como não recebi o produto não tem como avaliar;34.9;9.74;credit_card;418.0;2;MG;MG;3.0;brinquedos
84322;não foi entregue em casa tive que buscar no correio;66.0;16.22;boleto;534.0;3;RS;SP;1.0;perfumaria
24566;Produto de boa qualidade e atendeu minhas expectativas. Minha insatisfação esta relacionada a questão do cabo, que no anunciado diz 3 metros e recebi 1 metro. Terei assumir um custo adicional.;326.0;45.42;credit_card;341.0;3;SP;SP;1.0;construcao_ferramentas_iluminacao
50920;Produto incompleto;180.0;9.03;credit_card;871.0;1;SP;SP;4.0;informatica_acessorios
86847;Até o momento não recebi o produto que está atrasado na entrega.;119.34;17.09;credit_card;938.0;1;RJ;SP;4.0;esporte_lazer
30870;Mercadoria queimada no centro de distribuição em Fortaleza-CE. Cancelei a compra para ressarcimento do valor pago.;229.99;34.06;credit_card;934.0;1;CE;SP;1.0;cool_stuff
27577;Pelo rastreamento aparece numeração irregular, mas já compro a anos com esse endereço pela lannister e nunca aconteceu isso. Agora quero saber como faço para receber o produto;49.9;17.66;credit_card;340.0;3;RJ;SP;2.0;ferramentas_jardim
71925;A boneca não é igual a imagem que está no site, por isso fiquei bem desapontado, pois sempre que comprei algumas coisas por esse site eram bem atendidas ;187.0;45.11;credit_card;591.0;1;SP;MG;2.0;brinquedos
96227;Comprei três unidades do extensor VGA e só me foi entregue uma. Não recebo resposta dos meus questionamentos e não recebi a nota fiscal;59.9;18.52;boleto;635.0;1;MG;SP;3.0;eletronicos
82598;Ainda não recebi a base Dermacol 223;13.99;15.1;credit_card;935.0;1;RS;SP;1.0;perfumaria
40633;Eu recebi o produto no prazo porém já veio ligado e sem faltando a chave para desligar o aparelho;13.9;18.23;credit_card;273.0;2;PR;SP;1.0;brinquedos
118829;nao recebi o que eu comprei. recebi uma camera bem baratinha. quero o stand alond. preciso com urgencia. comprei na lannister por confiar na loja e na rapidez de entrega.;800.0;22.04;credit_card;1204.0;1;MG;GO;1.0;construcao_ferramentas_seguranca
32224;Eu comprei uma carteira, que chegou até antes do prazo. Porém, em menos de um mês de uso,o acabamento da carteira se soltou todo.;49.0;15.1;debit_card;93.0;2;MG;SP;7.0;fashion_bolsas_e_acessorios
46244;Comprei um plafon com cristal e dois pendentes, consta no e-mail que me encaminharam que foi entregue, mas os pendentes não recebi, somente o plafon. ;39.9;31.42;credit_card;878.0;1;MT;SP;7.0;casa_construcao
63323;Comprei 2 unidades. Apos atraso na entrega , recebi apenas 1 unidade. O grave é que o produto vem em embalagem individual e com nota fisc que aponta na nota fiscal 2 unidades. Recebi ontem com atras;19.99;24.48;credit_card;993.0;1;MA;SP;3.0;malas_acessorios
54177;bom dia ainda não recebi toa a minha encomenda, pos fiz o pedido de 12 relógios de parede ate agora so chgaram 6;108.0;15.52;boleto;3006.0;1;PR;RJ;2.0;relogios_presentes
43534;não recomendo pois não entregou no prazo e não consigo falar com eles, é muito ruim a targaryen;59.9;17.67;credit_card;501.0;1;SC;SP;3.0;pet_shop
79132;Esta entrega veio correta mas outra compra da mesma loja veio incompleta e o cartucho era falsificado;149.9;13.18;boleto;420.0;3;SP;PR;1.0;informatica_acessorios
10556;Comprei o Kit e a película que veio é para o Iphone X e não para o Xperia X conforme descrito no produto.;27.99;7.39;credit_card;818.0;1;SP;SP;6.0;telefonia
67673;"Prezados;
Até a presente data, o produto não me foi entregue. Gostaria de saber quais medidas a lannisters.com irá tomar, para que eu não fique no prejuízo. Foi minha 1ª compra (para testar) a loja.";19.9;17.92;boleto;846.0;1;RJ;PR;9.0;consoles_games
95140;Não entraram em contato, apenas cancelaram o meu pedido;129.89;9.26;credit_card;444.0;1;SP;SP;2.0;cama_mesa_banho
11824;Essa targaryen eu recomendaria!!! Agora lannister e eli magazine nao!!;58.99;16.66;boleto;492.0;1;DF;SP;2.0;beleza_saude
93107;Comprei três produtos e recebi apenas um .;89.9;13.65;boleto;249.0;2;SP;SP;2.0;brinquedos
102995;"Comprei uma elevação de acento com forro no assento e nos ""braços"". Vocês entregaram sem o forro.";179.9;22.1;credit_card;786.0;1;DF;MG;2.0;bebes
5443;Não recebi os produtos nem a Nota fiscal. Além de não conseguir atendimento por telefone.;297.9;60.39;boleto;240.0;1;RJ;SP;1.0;informatica_acessorios
32933;A loja foi irresponsável, pois não emitiu a nota fiscal e nem avisou se tinha o produto ou quanto tempo iria ter, ficou apenas dizendo que estava aguardando a emissão da nota fiscal, isso levou um mês;65.0;16.89;credit_card;430.0;1;BA;SP;5.0;relogios_presentes
86925;Recomendo;12.9;16.79;credit_card;408.0;3;BA;SP;1.0;beleza_saude
7602;O tecido é grosso parece mais organza 1ue cetim....nao gostei o acabamento também é muito ruim.;114.9;14.57;credit_card;167.0;1;SP;SP;1.0;cama_mesa_banho
41447;produto nao é o q eu queria, nao tem selo do imetro e nao é original, nao gostei mesmo, arrependido;469.99;20.54;boleto;1165.0;1;PR;SP;1.0;beleza_saude
12637;foi entregue so q nao esta funcionando ;59.99;17.67;credit_card;615.0;1;GO;SP;2.0;beleza_saude
84363;o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ;4.99;11.85;voucher;454.0;1;SP;SP;1.0;perfumaria
83438;Quero o produto espero que esteja no correio não recebi notificação de chegada;58.0;25.25;credit_card;108.0;2;SP;MG;1.0;construcao_ferramentas_construcao
9044;O vendedor não entregou o produto. Pedi à lannister que fizesse as devidas cobranças.;52.99;19.34;credit_card;559.0;1;RJ;SP;1.0;cama_mesa_banho
5073;Recebi somente 1 unidade;69.0;23.06;credit_card;264.0;1;SP;RS;1.0;informatica_acessorios
10912;Estou decepcionada até agora não foi entregue, sendo que já estão me cobrando e tudo na fatura ...... Lamentável .... NUNCA MAIS COMPRO NADA E SE NÃO CHEGAR VOU PROCURAR MEUS DIREITOS! ;109.9;15.52;credit_card;2345.0;1;RJ;SP;6.0;beleza_saude
25720;Ainda não recebi o produto. Estou aguardando.;39.9;33.71;credit_card;296.0;1;SP;SP;3.0;moveis_decoracao
41139;O produto não foi entregue até o momento;67.9;11.15;credit_card;1564.0;1;SP;SP;5.0;casa_conforto
109717;"Produto ainda não entregue, e a última informação que passaram faz mais de 10 dias
Continuo no aguardo.";45.0;17.6;boleto;394.0;1;SP;SC;1.0;informatica_acessorios
3776;Eu recebi o produto sem o Pistão da cadeira, abri uma solicitação de devolução e foi cancelada pelo vendedor loja, sem nenhum motivo e vou ficar no prejuízo pois não fui atendido.;169.99;21.23;credit_card;1350.0;1;SP;SP;1.0;moveis_escritorio
47568;prazo excedido em muito.;64.0;14.2;credit_card;65.0;2;RJ;SP;1.0;papelaria
66128;Veio faltando item e estou aguardando uma posição ;16.9;16.11;credit_card;1065.0;1;PR;SP;1.0;moveis_decoracao
73263;Produto barulhento sem controle de volume e não há referencia nas instruções do produto;49.99;15.23;boleto;426.0;3;RJ;SP;1.0;relogios_presentes
104835;Só recebi o jogo felpudo. O de Margarida não veio.;69.9;10.51;credit_card;377.0;3;ES;SP;1.0;cama_mesa_banho
5993;"muito obrigado
";56.99;12.74;credit_card;636.0;1;SP;SP;1.0;cama_mesa_banho
59570;O prazo de entrega foi de 28 dias. Chegou antes do prazo, mas demorou 3 semanas entre a compra e a chegada. ;59.9;17.99;credit_card;336.0;1;BA;SP;1.0;fashion_roupa_masculina
36295;BOA TARDE EU NÃO RECEBI O PEDIDO COMPLETO, ENTREGARAM SOMENTE O VARÃO. A CORTINA NÃO FOI ENTREGUE, ESTOU NO AGUARDO DE UMA RESOLUÇÃO ARA ESTE PROBLEMA;48.9;11.15;voucher;396.0;1;SP;SP;1.0;cama_mesa_banho
65810;A qualidade do produto é discutível, mas pelo preço até que dá para encarar.;32.9;15.23;credit_card;397.0;3;SP;SC;5.0;brinquedos
69092;Só chegou uma capa a transparente a fumê não chegou;18.99;24.84;boleto;346.0;1;MA;SP;3.0;telefonia
94567;Houve pequeno mal entendimento devido a cortina ser anunciada como 2,80 X 1,80 e na realidade são duas de 1,40 X 1,80... no mais, tudo ok... ;49.9;17.09;credit_card;856.0;3;RJ;MG;1.0;moveis_decoracao
7055;Ainda não recebi meu produto.;124.9;11.89;credit_card;273.0;2;SP;SP;1.0;cama_mesa_banho
50328;Muito tempo para a entrega. Até agora não recebi o produto.;940.5;22.02;boleto;2353.0;1;RJ;PR;2.0;agro_industria_e_comercio
60978;Ainda não recebi o produto ;116.9;16.58;credit_card;255.0;2;RJ;SP;1.0;cama_mesa_banho
47156;sem avaliação. não recebemos o produto;319.49;25.89;credit_card;881.0;1;BA;SP;1.0;esporte_lazer
3469;comprei 5 cadeiras e ate o presente só recebi 4, ainda aguardando a 5 cadeira;192.97;39.68;boleto;1157.0;1;SP;SP;1.0;moveis_escritorio
113498;Parece frágil. Ainda não usei.;59.99;18.3;boleto;3677.0;3;MG;SP;5.0;esporte_lazer
62426;O pedido foi entregue parcialmente. Veio a Castanha da índia, mas faltou a Moringa.;64.99;51.96;credit_card;762.0;3;MG;MA;1.0;beleza_saude
114666;Peço por favor verificar a entrega do pedido, pois não recebemos.;1680.0;28.01;credit_card;2493.0;1;RJ;SP;3.0;telefonia_fixa
98813;Não foi entregue o produto. Estava previsto para 27/08 ;58.99;26.71;credit_card;582.0;1;RJ;SP;1.0;cama_mesa_banho
24219;Pedi duas unidades do produto e só entregaram uma. Liguei para a loja e me disseram que a outra estava sendo enviada, mas até o momento não recebi.;35.0;16.32;credit_card;829.0;2;ES;SP;1.0;moveis_decoracao
74689;"O produto não chegou até o momento e o prazo era até dia 25.09 e recebo hj 27.09 um email avisando não ser possível realizar a entrega.
Muito descaso com o cliente.";489.9;27.74;credit_card;1033.0;1;SP;SP;4.0;eletroportateis
80864;Produto muito difícil de manusear , fiquei decepcionada com esse produto;39.9;12.48;credit_card;439.0;2;SP;SP;2.0;moveis_decoracao
118658;Comprei um produto e recebi outro;57.99;18.51;credit_card;791.0;1;SP;SC;1.0;brinquedos
49140;comprei dois controles, demorou quase um mês pra chegar e veio só um controle, cadê o outro?? 68 reais por um controle?? eu comprei dois, quero o outro;18.9;15.1;credit_card;318.0;1;SC;PR;1.0;eletronicos
47501;"Estou há mais de 01 mês esperando a solução do problema conforme atendimento aberto .
Quanto tempo mais terei que aguardar ?
Tenho que buscar ajuda no procon ou juizados de pequenas causas ??
";85.9;21.09;credit_card;743.0;1;SP;SC;2.0;cama_mesa_banho
16910;o produto chegou e como estava em viagem demorei uma semana para montar e quando fui montar estava faltando uma peça, que na verdade a peça principal,onde se pendura os cabides ou seja vai ficar sem ;69.9;12.43;credit_card;903.0;2;SP;SP;6.0;moveis_decoracao
51131;O produto não funciona por erro no envio dos itens que compõem o aparelho e não retornam para auxiliar na devolução do produto.;98.0;18.57;boleto;911.0;1;GO;SP;1.0;telefonia
100928;Comprei a mochila em janeiro, acompanhei status de transporte até 31/01/2018, com previsão de entrega para 14/02/2018 e simplesmente ontem no site o status era de cancelamento do pedido.;54.9;17.95;boleto;425.0;1;RJ;SP;8.0;malas_acessorios
5669;Não recebi a fronha de travesseiro de corpo;19.9;5.51;credit_card;170.0;1;SP;SP;1.0;cama_mesa_banho
